Quem era o líder europeu no auge da força e da glória em 1807?;Napoleão Bonaparte.
Quais produtos eram produzidos em São Domingos, a maior colônia francesa do Caribe?;Açúcar (800 engenhos), café (3 mil fazendas), algodão (800 fazendas) e índigo (3 mil fazendas).
Quantos navios franceses e norte-americanos eram usados no transporte do comércio colonial francês no Caribe?;Mil navios franceses mais parte da frota dos EUA.
Quantos escravos eram absorvidos anualmente pelo mercado local de São Domingos?;Cerca de 40 mil escravos por ano, muitos fornecidos por traficantes norte-americanos.
Qual questão nova a Revolução Francesa colocou em pauta nas Américas?;A libertação dos escravos.
Como a Declaração de Independência dos EUA abordava os direitos humanos?;Defendia que todos os homens foram criados iguais, com direitos inalienáveis à vida, liberdade e busca da felicidade.
Quem foi Thomas Jefferson e qual era sua relação com a escravidão?;Autor da frase da Declaração dos EUA, dono de escravos, teve oito filhos com uma escrava, e escreveu leis que endureceram punições para escravos e negros livres.
Por que a escravidão e o liberalismo coexistiram nos EUA?;Porque liberdade (razão) e escravidão (força) provinham de fontes diferentes e incompatíveis, mas a lei racional não tinha poder para abolir costumes arraigados.
O que dizia Rousseau sobre a escravidão e o direito?;Que escravidão e direito são contraditórios e se excluem mutuamente, mas o costume, fundamentado na força, prevalece.
Qual conflito surgiu em São Domingos (Haiti) após a Revolução Francesa?;A luta entre o costume do domínio branco e o direito universal da liberdade, gerando uma guerra surda entre brancos e mulatos proprietários.
Quem eram os mulatos em São Domingos e qual era sua importância econômica?;Eram proprietários de terras e escravos, donos de um terço da riqueza, e passaram a ter direitos políticos em 1791.
O que levou os escravos em São Domingos a se revoltar?;A percepção real do direito universal à liberdade e o conflito entre costumes locais e a lei racional francesa.
Quem liderou o exército de escravos na Revolução de São Domingos?;Toussaint L’Ouverture.
Qual foi o resultado constitucional de 1801 em São Domingos?;Abolição da escravidão e governo liderado por L’Ouverture, primeiro negro a governar um território nas Américas.
O que Napoleão Bonaparte fez em relação a São Domingos?;Revogou a abolição, enviou um exército para destruir a ilha, prendeu e deixou morrer L’Ouverture.
Qual foi o desfecho da luta revolucionária em São Domingos?;Independência do Haiti em 1804, com Jean-Jacques Dessalines como primeiro negro a governar um país nas Américas, um país sem escravos.
Qual foi o impacto econômico da Revolução Haitiana?;Produção desarticulada, mercado local retrocedeu a trocas quase tribais e desaparecimento das exportações.
Por que potências como EUA e França não investiram no Haiti pós-revolução?;Porque a economia ocidental dependia da exploração escrava para produção exportável, que não existia mais no Haiti.
Qual a contradição final da revolução haitiana em termos políticos e econômicos?;Apesar da conquista da independência e liberdade, a economia local retrocedeu sem conseguir retomar níveis produtivos anteriores.
Qual foi o impacto da destruição da produção no Haiti para as colônias inglesas?;Na Jamaica, 15 mil escravos morreram de fome devido à proibição de se abastecer no mercado dos EUA, e a situação econômica não melhorou após a suspensão da proibição.
O que ocorreu com os engenhos na Jamaica em 1805?;Havia 65 engenhos abandonados, 35 em liquidação por falta de pagamento de dívidas e 1.807 processos judiciais contra os 115 restantes.
Como os ingleses reagiram ao contexto da escravidão e dos direitos universais?;Optaram por acabar com o sistema escravista de seu modo, apoiando inicialmente só a luta contra o tráfico de escravos, sem abolir a escravidão.
Qual foi o papel das sociedades abolicionistas inglesas fundadas em 1787?;Inicialmente marginais, passaram a receber apoio político e financeiro para lutar contra o tráfico de escravos, mas sem tocar na abolição total.
O que Thomas Clarke comentou ironicamente sobre a luta contra o tráfico?;Que o sofrimento dos africanos só passou a ser notado quando o tráfico enfrentou obstáculos que prejudicavam interesses.
Qual a finalidade da política inglesa contra o tráfico de escravos?;Manter a produção colonial com escravos, mas impedir os ganhos dos traficantes, especialmente dos norte-americanos que controlavam o tráfico no Caribe.
Quando a Inglaterra proibiu o tráfico de escravos?;Em 1807, no mesmo ano em que os EUA proibiram a importação de escravos.
Como essa proibição afetou o sistema colonial?;Levou à lenta decadência do sistema colonial escravista, consumindo produtivamente os escravos existentes nas plantações inglesas.
Qual papel o tráfico de escravos teve no mercado interno brasileiro?;"Fundamental e muito além das trocas entre cativos e produção exportável; era central na economia colonial."
Qual foi a brecha que o Brasil e os EUA abriram no exclusivo colonial?;O contrabando, especialmente relacionado a metais preciosos e escravos.
Qual ponto central abriu a brecha para o contrabando brasileiro no século XVII?;Potosí, com sua imensa produção de prata e grande demanda por escravos para a mineração.
Que papel tiveram os mercadores do Rio de Janeiro no contrabando para Potosí?;Armavam navios para comprar escravos em Angola e vendê-los em Buenos Aires, abastecendo as minas.
O que aconteceu com os negócios de contrabando durante a ocupação holandesa em Pernambuco?;Foram interrompidos entre 1637 e 1641.
Como a separação entre Portugal e Espanha em 1640 influenciou o tráfico?;D. João IV autorizou e incentivou os traficantes fluminenses a retomar Angola, dando-lhes governo sobre Rio de Janeiro e Angola.
Qual a importância do domínio colonial brasileiro sobre o tráfico de Angola?;Controle político e econômico da rota, com investimentos e financiamento da economia angolana, além do acúmulo de riqueza no Brasil.
Quantos escravos foram trazidos ao Brasil no século XVII?;Cerca de 350 mil, sendo que 100 mil só na década de 1730 para as regiões mineradoras do Rio de Janeiro.
Qual a justificativa usada pelos comerciantes de Salvador para fazer contrabando de escravos na Costa da Mina?;Alegavam que fariam contrabando em território sob domínio holandês e, portanto, não prejudicariam o exclusivo colonial português.
Quando ocorreu a primeira viagem de contrabando autorizada por Salvador para a Costa da Mina?;Em 1721.
Quantos escravos foram trazidos para Salvador até o fim do século XVIII?;Cerca de 80 mil escravos do atual Benim.
Quantos navios formavam a frota integralmente empregada entre Salvador e Ajudá?;Cerca de 24 navios.
Quem foi Francisco Félix de Souza?;Mestiço baiano que se tornou o grande senhor de Ajudá e o maior mercador de escravos de seu tempo.
Quantos escravos foram trazidos da África para o Brasil ao longo do século XVIII?;Aproximadamente 1,4 milhão.
Quem dominava o comércio de tráfico de escravos no Brasil colonial?;Capitais coloniais brasileiros, com participação cada vez menor de Portugal.
Qual era a mercadoria central nas trocas do mercado interno colonial?;"As ""peças d'África"" (escravos)."
Quem intermediava a ligação física entre grandes traficantes e atacadistas locais?;Tropeiros, regatões ou monçoneiros, chefes das caravanas comerciais.
Qual o papel dessas caravanas comerciais?;Levavam escravos e bens para o interior e traziam produção agrícola, artesanal e pecuária para o ponto de partida.
Como era o ritmo da economia brasileira entre 1787 e 1821?;Ciclo ascensional baseado no consumo interno, mesmo durante a decadência da produção de ouro.
Como se comportou a economia portuguesa no mesmo período?;Passou por uma parada entre 1770 e 1790, ascensão até 1815 e queda forte e duradoura até 1850.
O que indicam os ciclos econômicos da colônia em relação à metrópole?;Que a economia colonial já não dependia da metrópole, apresentando autonomia relativa.
Qual foi a principal causa do crescimento das exportações brasileiras entre 1796 e 1807?;A diversificação da produção colonial, especialmente além do ouro e açúcar.
Como se comportou o mercado interno do Rio de Janeiro entre 1790 e 1830?;Cresceu e teve ganhos especialmente com produtos de abastecimento locais como farinha e charque, mesmo com queda nas exportações.
Como cresceu a importação de escravos no Rio de Janeiro em meio à retração exportadora?;Cresceu a uma taxa anual de 5,1%.
O que explica a construção da economia colonial independente do exclusivo comercial?;A dinâmica do mercado interno, mais poderosa que as restrições da metrópole.
Qual foi o impacto da crise burguesa na América para o Brasil no início do século XIX?;Beneficiou a expansão da produção e o otimismo econômico no Brasil.
Como a independência do Haiti afetou o comércio entre França e Portugal?;Aumentou drasticamente as importações francesas de produtos brasileiros, tornando a França o maior comprador de Portugal no período.
Qual foi a percepção dos brasileiros sobre a escravidão após o surgimento do mercado haitiano?;"Acreditavam que não havia necessidade de mudar a escravidão; cada mercado destruído lá fora era uma oportunidade para ampliar a produção escravista internamente."
Quais produtos vieram dos domínios franceses para impulsionar os negócios brasileiros?;Mudas de cana-caiana (mais produtiva) e café.
Como chegaram ao Brasil cerca de 15 mil cortesãos da velha ordem europeia?;Vieram junto com a corte portuguesa, fugindo das guerras napoleônicas na Europa.
Qual foi a reação da elite brasileira à chegada da corte portuguesa?;Euforia, vendo no monarca um caminho para evitar revoluções burguesas e manter a ordem tradicional.
Quem foi José da Cunha de Azeredo Coutinho e qual sua obra relevante?;"Foi um pensador brasileiro autor de ""Análise sobre a justiça do comércio de resgate de escravos da costa da África"" (1808), defendendo a ordem tradicional e criticando os revolucionários."
Qual era o principal argumento de Coutinho contra a liberdade e revoluções?;"Que a liberdade individual era um princípio abstrato que gerava caos social, não ordem justa; e que a ordem natural e social deveria respeitar a hierarquia entre senhores e escravos."
Como Coutinho usava a luz como metáfora para sua argumentação?;A luz natural do sol que ilumina e evita incêndios representava a ordem tradicional, em oposição à luz artificial da razão, que causava revoluções e caos.
