A microeconomia estuda o comportamento agregado da economia.;❌ Errado. A microeconomia estuda agentes individuais, como consumidores e empresas.
O modelo de Solow considera a inovação como um fator exógeno, ou seja, externo à economia.;✅ Certo. No modelo de Solow, a inovação tecnológica é vista como um fator externo, que influencia a economia sem depender das decisões internas.
A inovação tecnológica no modelo de Solow é considerada uma variável interna à economia.;❌ Errado. Solow considera a inovação como exógena, ou seja, externa ao modelo.
No modelo de Solow, o crescimento econômico pode ser sustentado indefinidamente sem inovação tecnológica.;❌ Errado. Solow acredita que, a longo prazo, os retornos de capital diminuem sem inovação tecnológica constante.
O modelo Schumpeteriano coloca a inovação no centro do crescimento econômico.;"✅ Certo. Schumpeter acredita que a inovação é o motor do crescimento econômico, com foco na ""destruição criativa""."
No modelo Schumpeteriano, a inovação é vista como um fator exógeno à economia.;❌ Errado. Schumpeter vê a inovação como endógena, ou seja, interna à economia, impulsionada pelas ações dos empreendedores.
Schumpeter acreditava que as empresas que não inovam são forçadas a desaparecer do mercado.;"✅ Certo. Schumpeter destacou a ""destruição criativa"", onde empresas inovadoras crescem e as não inovadoras desaparecem."
"O conceito de ""destruição criativa"" no modelo Schumpeteriano significa que novas inovações substituem os antigos produtos e métodos.";"✅ Certo. A ""destruição criativa"" é o processo onde inovações substituem antigos métodos e produtos, gerando crescimento e mudança econômica."
No modelo Schumpeteriano, os empreendedores desempenham um papel fundamental ao introduzirem inovação.;✅ Certo. Schumpeter enfatizou que os empreendedores são os agentes responsáveis por trazer inovação e criar novos mercados.
O modelo de Solow sugere que a inovação tecnológica é irrelevante para o crescimento econômico a longo prazo.;❌ Errado. Solow acredita que a inovação tecnológica é crucial para sustentar o crescimento a longo prazo.
Schumpeter via as inovações como fatores externos ao mercado econômico.;❌ Errado. Para Schumpeter, as inovações são endógenas e vêm de dentro da economia, através das decisões dos empreendedores.
No modelo de Solow, o aumento da produtividade é um exemplo de como a inovação pode impulsionar o crescimento.;✅ Certo. A invenção de novos métodos de produção e o aumento da produtividade são exemplos de como a inovação tecnológica pode impulsionar o crescimento econômico.
O modelo Schumpeteriano considera que o crescimento econômico é impulsionado principalmente pelo acúmulo de capital físico.;"❌ Errado. O modelo Schumpeteriano foca na inovação e no processo de ""destruição criativa"", não sendo o acúmulo de capital físico o motor principal."
No modelo de Solow, a diminuição dos retornos marginais do capital implica em menor crescimento econômico a longo prazo.;✅ Certo. Solow sugeriu que, à medida que mais capital é acumulado, os retornos marginais diminuem, o que reduz o crescimento a longo prazo.
A destruição criativa pode resultar na criação de novos mercados e indústrias.;✅ Certo. A destruição criativa leva à obsolescência de produtos antigos, mas também cria novos mercados e oportunidades, impulsionando a economia.
O conceito de desemprego involuntário é quando uma pessoa procura trabalho, mas não consegue encontrar.;✅ Certo. O desemprego involuntário ocorre quando uma pessoa está ativamente procurando trabalho, mas não encontra.
O desemprego é quando uma pessoa está fora do mercado de trabalho, não procurando emprego.;❌ Errado. Para ser considerado desempregado, é necessário estar ativamente procurando trabalho.
O desemprego é um indicador da saúde do mercado de trabalho de um país.;✅ Certo. O índice de desemprego é uma das principais métricas usadas para avaliar o mercado de trabalho e a saúde econômica de um país.
O desemprego pode ser considerado uma forma de exclusão social quando é persistente e de longo prazo.;✅ Certo. O desemprego persistente pode gerar exclusão social, impactando negativamente a qualidade de vida das pessoas.
No modelo de Solow, o crescimento sustentado depende principalmente do aumento da força de trabalho.;❌ Errado. No modelo de Solow, o crescimento sustentado depende principalmente da inovação tecnológica, além do capital físico e trabalho.
O modelo Schumpeteriano propõe que a inovação pode criar novas indústrias e empregos.;✅ Certo. Schumpeter acredita que as inovações geram novas indústrias e empregos, além de destruir antigas indústrias.
O desemprego estrutural é causado pela falta de oferta de trabalho no mercado.;❌ Errado. O desemprego estrutural ocorre devido a mudanças na estrutura econômica, como a automação, que substitui postos de trabalho.
O modelo de Solow inclui a inovação como uma variável endógena, ou seja, resultado de ações internas da economia.;❌ Errado. No modelo de Solow, a inovação é considerada uma variável exógena, não resultado de decisões internas da economia.
Schumpeter acreditava que a concorrência perfeita geraria mais inovação do que os monopólios.;❌ Errado. Schumpeter acreditava que os monopólios temporários gerados por empresas inovadoras poderiam incentivar mais inovação do que a concorrência perfeita.
O crescimento econômico, no modelo de Solow, pode ser sustentado sem novos investimentos em tecnologia.;❌ Errado. No modelo de Solow, a inovação tecnológica é essencial para manter o crescimento econômico sustentado a longo prazo.
No modelo Schumpeteriano, a inovação é vista como o processo de destruição de mercados antigos e criação de novos.;"✅ Certo. A ""destruição criativa"" de Schumpeter envolve a substituição de mercados e produtos antigos por novos, gerando um ciclo de crescimento."
O desemprego estrutural pode ser causado pela introdução de novas tecnologias que substituem os trabalhadores.;✅ Certo. A automação e outras inovações tecnológicas podem causar desemprego estrutural ao substituir trabalhadores por novas tecnologias.
O modelo de Solow considera o capital humano como um fator relevante para o crescimento econômico.;❌ Errado. O modelo de Solow foca mais no capital físico e na força de trabalho, enquanto o capital humano não é um dos focos principais do modelo.
Schumpeter acreditava que a inovação era um processo contínuo e fundamental para o dinamismo da economia.;✅ Certo. Para Schumpeter, a inovação contínua é essencial para manter a economia dinâmica, através da destruição criativa.
O aumento da produtividade no modelo de Solow é impulsionado principalmente pela inovação tecnológica.;✅ Certo. No modelo de Solow, a inovação tecnológica é um fator essencial para o aumento da produtividade e o crescimento econômico.
O desemprego friccional ocorre quando as pessoas estão transicionando entre empregos.;✅ Certo. O desemprego friccional é temporário e ocorre quando uma pessoa está mudando de emprego ou de cidade, por exemplo.
O desemprego friccional é considerado um tipo de desemprego problemático para a economia.;❌ Errado. O desemprego friccional é normal e muitas vezes sinaliza que as pessoas estão buscando melhores oportunidades.
O desemprego estrutural ocorre devido a flutuações cíclicas na economia.;❌ Errado. O desemprego estrutural ocorre devido a mudanças na estrutura do mercado de trabalho, como mudanças tecnológicas ou setoriais.
O desemprego cíclico é temporário e está relacionado às flutuações econômicas.;✅ Certo. O desemprego cíclico ocorre em recessões econômicas e tende a diminuir quando a economia se recupera.
O desemprego sazonal é permanente e não varia ao longo do ano.;❌ Errado. O desemprego sazonal ocorre de acordo com a demanda sazonal, variando durante o ano, como na agricultura ou turismo.
Trabalhadores da indústria de turismo podem enfrentar desemprego sazonal durante a baixa temporada.;✅ Certo. A demanda por trabalho no turismo varia ao longo do ano, criando desemprego sazonal fora da temporada alta.
O desemprego estrutural ocorre quando há falta de qualificação da força de trabalho para os empregos disponíveis.;✅ Certo. O desemprego estrutural acontece quando as habilidades dos trabalhadores não correspondem às necessidades do mercado.
O desemprego cíclico é causado por uma mudança na estrutura econômica, como o fechamento de indústrias.;❌ Errado. O desemprego cíclico é causado por flutuações econômicas, não por mudanças estruturais permanentes.
O nível de emprego em uma economia depende apenas do crescimento econômico.;❌ Errado. Embora o crescimento econômico seja importante, outros fatores como demanda agregada, inovação e políticas governamentais também afetam o nível de emprego.
Quando a economia está em recessão, a demanda agregada diminui, o que pode levar ao aumento do desemprego cíclico.;✅ Certo. Durante recessões, a demanda por bens e serviços cai, levando a uma redução na produção e ao aumento do desemprego cíclico.
