O que George Weerth expressou em 11 de março de 1848?;"Acreditava que a Revolução mudaria o planeta e apoiava a república (""Vive la Republique!"")."
O que distinguia trabalhadores militantes dos demais pobres?;A capacidade e vontade de se organizar em associações democráticas para defesa social e melhorias.
"O que era a ""associação"" na época liberal?";Formação livre e consciente de grupos para melhorias sociais, base dos movimentos trabalhistas.
Que porcentagem da classe operária estava organizada em associações no final do século XIX?;Cerca de 40%, incluindo sindicatos, clubes esportivos, associações religiosas e políticas.
Quem ficava de fora das organizações e associações?;Muitos trabalhadores pobres e as mulheres, excluídas do mundo formal das associações.
Qual era o maior desafio para avaliar as condições dos trabalhadores?;A diversidade dos países, níveis de industrialização e diferenças entre urbanos e rurais dificultavam generalizações.
Como era a realidade dos trabalhadores pobres?;Predominava uma pobreza violenta, condições físicas e morais precárias, apesar de algumas melhorias gerais desde 1840.
O que disse Sir Robert Giffen sobre as condições das massas populares?;"Que ainda existia um ""resíduo não desenvolvido"", que as melhorias eram pequenas e que era desejável uma revolução para melhorar."
Quem eram os reformadores sociais mencionados?;Observadores críticos que reconheciam melhorias, mas destacavam a persistente pobreza da maioria dos trabalhadores.
O que dizia Miss Edith Simcox sobre os trabalhadores urbanos?;"Cerca de 10 milhões na cidade, mas só 2 milhões de trabalhadores especializados viviam com alguma segurança; o resto estava na miséria."
Quantos trabalhadores especializados tinham alguma segurança?;Estimava-se pouco mais de 2 milhões, numa população total de 5 milhões desses trabalhadores.
Qual era a situação dos trabalhadores menos especializados?;"Ganhos mínimos para necessidades básicas; qualquer problema podia levar à miséria rápida."
Por que as impressões dos reformadores podiam ser otimistas?;Pesquisas da década de 1880 mostravam que 40% da classe operária de Londres mal tinham condições mínimas de vida.
"Como Beatrix Potter descrevia a ""classe operária confortável""?";Como uma comunidade fechada, bem remunerada, mas fisicamente exausta e sujeita ao esgotamento pelo excesso de trabalho.
Qual era a fé da classe operária segundo Beatrix Potter?;"Fé puritana em ""Vida em Cristo"" e esperança no além para suportar as dificuldades da vida presente."
Como a fé influenciava a vida dos trabalhadores?;Aliviava a busca por bens materiais, transformando o fracasso em meio para alcançar a graça.
O que o quadro social dessa época revela?;Trabalhadores modestos e respeitáveis, conscientes da possibilidade de piorar, ainda muito distantes da classe burguesa.
Qual era a distância entre a classe operária e a burguesia?;Imensa e intransponível, apesar das pequenas melhorias trazidas pela expansão capitalista.
O que dizia o hóspede de Beatrix Potter sobre o consumo?;Advertia para não gastar demais o pouco que tinham, preservando recursos para momentos futuros.
Como se dava a mobilidade social na sociedade burguesa?;"Homens eram valorizados pelo que eram; pessoas de origens humildes podiam subir socialmente, assumindo novos papéis sociais."
Qual o papel das roupas na sociedade burguesa?;"""As roupas fazem o homem""; vestimentas adequadas indicavam posição social e ajudavam na mobilidade social."
O que representava o lar burguês?;Espaço onde os problemas sociais eram esquecidos e onde se criava a ilusão de harmonia familiar e status social.
Qual a importância do Natal para a burguesia?;Ritual que simbolizava o contraste entre o frio externo e o calor familiar, expressando a vida e a união burguesa.
Como eram os interiores das casas burguesas?;"Muito decorados, com muitos objetos, cortinas, tecidos e molduras rebuscadas; isso indicava riqueza e status."
O que os objetos dentro das casas simbolizavam?;Eram sinais de riqueza, conforto, personalidade e aspirações espirituais da vida burguesa.
Como era a relação entre beleza e funcionalidade?;"A beleza estava na decoração superficial, enquanto a funcionalidade era básica; casas e objetos não eram grandiosos por si mesmos."
Qual era o papel do piano no lar burguês?;"Instrumento essencial que simbolizava cultura e refinamento; todas as filhas da burguesia aprendiam a tocar."
Qual era a relação entre sucesso material e espiritual?;"Sucesso material era base para a busca espiritual; a prosperidade material sustentava as aspirações intelectuais e morais."
Como eram vistos os jovens artistas e estudantes pobres?;Como membros subalternos da família burguesa, que dependiam do apoio financeiro para se dedicar à cultura.
Qual era a dualidade fundamental no mundo burguês relacionada à moral?;A separação entre matéria (vida prática) e espírito (ideais), gerando hipocrisia, especialmente em questões sexuais.
Os burgueses eram hipocritas conscientes em relação ao sexo?;"Nem sempre; muitos acreditavam na moral oficial, mesmo que suas ações pessoais às vezes conflitassem com isso."
Como funcionava a moral sexual em países católicos na época?;"Castidade para solteiras, fidelidade para casadas; homens solteiros tinham liberdade sexual; infidelidade era tolerada com discrição."
E nos países protestantes?;Esperava-se fidelidade e moralidade sexual para ambos os sexos, o que gerava mais tormento pessoal para quem não seguia as regras.
A moral burguesa era aplicada efetivamente?;"Sim, especialmente após as classes trabalhadoras ""respeitáveis"" adotarem seus valores; moral sexual era levada a sério."
Como era a percepção sobre prostituição e doenças venéreas?;"Difícil medir; infecções maiores em grandes cidades e locais com jovens solteiros longe de casa; moralidade oficial era rigorosa."
Por que não podemos aplicar padrões modernos à moral sexual do século XIX?;Porque o mundo era pré-freudiano, com valores e tabus muito diferentes dos atuais.
Qual era a relação entre repressão sexual e cultura burguesa?;A cultura burguesa repressava urgências sexuais, valorizando o sucesso material e espiritual sobre o prazer.
Como o puritanismo sexual funcionava socialmente?;"Era um meio de distinguir pessoas respeitáveis das ""não-respeitáveis"", exigindo total abstinência sexual e moral rigorosa."
Qual era o papel da abstinência em classes médias e artesãos?;Muitas vezes era a única forma de gratificação moral e pessoal, sem grandes recompensas materiais.
Por que as tentações sexuais eram tão fortes no mundo burguês?;"Porque os padrões morais eram extremados, tornando a ""queda"" dramática e assustadora."
Qual era o papel da família na sociedade burguesa?;Família era a unidade básica social e econômica, ligada ao sistema de propriedade e ao dote do casamento, que exigia virgindade da mulher.
Por que a paixão física descontrolada era um problema?;Porque poderia gerar herdeiros indesejados, separar casais e desperdiçar recursos comuns da família.
Qual era a principal dificuldade da burguesia?;Conciliar riqueza crescente e consumo com a moralidade puritana e com o papel da família.
"Quem eram os ""parvenus""?";Novos ricos que gastavam excessivamente para mostrar status, associados a um estilo de vida considerado destemperado.
Como a burguesia tentava imitar a aristocracia?;Construindo castelos, impérios, e gastando em luxo, especialmente para mostrar poder e status.
Qual era o problema da sucessão na burguesia?;Dificuldade em manter sucessores dinâmicos dentro da família, aumentando a importância dos casamentos das filhas para alianças econômicas.
Como a burguesia buscava conciliar riqueza e status?;Comprando antiguidades e objetos caros que simbolizavam cultura e prestígio.
O que simbolizava a família burguesa?;Uma autocracia patriarcal, microcosmo de uma sociedade hierárquica, contraditória aos ideais liberais da burguesia.
Quem comandava a família burguesa?;O pai, marido e senhor, que era o guardião, guia e juiz da casa e da prosperidade familiar.
Quais eram as cinco funções da mulher burguesa segundo Ruskin?;1. Agradar as pessoas 2. Alimentá-las agradavelmente 3. Vesti-las 4. Mantê-las em ordem 5. Fazê-las aprender.
Por que a mulher burguesa não precisava ser inteligente?;Porque sua função principal era admirar o marido e mantê-lo confortável, mostrando inferioridade em relação ao homem.
Qual era o papel da mulher sobre os empregados domésticos?;Ela exercia dominação sobre os criados, especialmente mulheres, reforçando a hierarquia social dentro da casa.
Como era a condição dos empregados domésticos?;Eram controlados estritamente, viviam sob regras rígidas e dependiam totalmente do empregador, com pouca liberdade.
Qual era a contradição da família burguesa em relação à sociedade?;A família era uma autocracia patriarcal que negava os ideais de liberdade, igualdade e oportunidade da sociedade burguesa.
Qual metáfora se usa para descrever o lar burgues?;"Um oásis de paz e descanso (""le repos du guerrier"") em um mundo competitivo e de luta constante."
Por que a dependência dentro da família precisava ser pessoal?;Porque a superioridade social era incerta e precisava de uma forma permanente e segura para se expressar, além do dinheiro.
Como a sociedade burguesa tratava a estrutura patriarcal?;Reforçou e exagerou a subordinação da mulher e dos filhos dentro da família, apesar dos ideais liberais.
Qual era a base social dos líderes industriais do século XIX?;"A maioria vinha da classe média ou média baixa; poucos vieram das classes trabalhadoras."
Como as famílias burguesas mantinham seu status?;Através de casamento entre famílias com educação, propriedade e negócios similares, fortalecendo alianças sociais e econômicas.
Vantagem de família grande nos negócios;Capital, contatos, gerentes de confiança, muitos filhos disponíveis
Exemplos de clãs familiares;"Lefebvres financiam cunhado (1851); Siemens & Halske (1847) capital de primo, irmãos em Berlim, SPb e Londres"
