Qual é a principal fonte formal do Direito Internacional Público, segundo o Estatuto da Corte Internacional de Justiça?;Os tratados internacionais.
O Brasil é signatário da Convenção de Nova York sobre arbitragem?;Sim, ratificou a Convenção de Nova York (1958) sobre reconhecimento de sentenças arbitrais.
"O que é a ""lex arbitri"" na arbitragem internacional?";É a lei que rege o procedimento arbitral, geralmente a do local da arbitragem.
"O que é o ""laudo arbitral"" e sua execução no Brasil?";É a decisão do árbitro, que pode ser executada no Brasil após homologação pelo STJ.
A CIJ pode emitir opiniões consultivas a pedido de ONGs?;Não, apenas a pedido de órgãos da ONU e OIs autorizadas.
"O que é a ""Resolução 377 (V)"" da ONU (""União pela Paz"")?";Permite que a AGNU atue quando o CS está paralisado, incluindo recomendações de medidas.
O CS da ONU pode recomendar meios de solução pacífica?;Sim, nos termos do art. 36 da Carta.
O CS pode impor uma solução?;Sim, se a controvérsia for uma ameaça à paz, o CS pode determinar medidas (art. 39 e 41).
"O que é a ""investigação in loco"" na ONU?";São missões de apuração de fatos, como a comissão sobre o conflito na Síria.
O Brasil já participou de missões de mediação da ONU?;Sim, como na mediação no Timor-Leste (UNTAET) e no Haiti (MINUSTAH).
"O que é a ""solução pacífica no âmbito da OEA""?";A OEA tem procedimentos próprios, como a Comissão Interamericana de Direitos Humanos.
O Brasil já usou a OEA para solução de controvérsias?;Sim, como no caso da usina de Itaipu com o Paraguai (embora não contencioso).
"O que é o ""Mercosul"" e sua solução de controvérsias?";O Mercosul tem o Protocolo de Olivos (2002) para solução de controvérsias comerciais.
O Brasil já usou o sistema do Mercosul?;Sim, em disputas comerciais com Argentina e Uruguai.
"O que é o ""Tribunal Permanente de Revisão"" do Mercosul?";É o órgão de apelação do sistema de solução de controvérsias do Mercosul, sediado em Assunção.
"O que é a ""Carta de Bogotá"" (1948)?";É o tratado que estabelece procedimentos para a solução pacífica de controvérsias na OEA.
O Brasil é signatário da Carta de Bogotá?;Sim, e a utiliza como base para solução de controvérsias na região.
"O que é a ""arbitragem na OMC"" e como funciona?";É um sistema de painéis e apelação para disputas comerciais, com prazos rígidos.
"O que é a ""Corte Internacional de Arbitragem da CCI""?";É um tribunal arbitral da Câmara de Comércio Internacional, focado em disputas comerciais privadas.
A CCI é um tribunal de DIP?;Não, é de arbitragem comercial, mas pode envolver Estados em contratos.
"O que é a ""arbitragem de Haia"" (CPA)?";É a arbitragem realizada sob os auspícios da Corte Permanente de Arbitragem de Haia.
"A CIJ tem uma ""Câmara de Procedimento Sumário""?";Sim, prevista no art. 29 do Estatuto, para julgar casos de forma mais rápida.
"O que é a ""exceção de não comparecimento"" na CIJ?";O Estado pode não comparecer, mas a Corte pode julgar o caso.
A CIJ pode julgar casos ex aequo et bono?;Sim, se as partes concordarem (art. 38, §2º).
;
;
 que é uma organização internacional (OI)?;É uma associação voluntária de Estados, criada por tratado, com personalidade jurídica internacional, para alcançar objetivos comuns.
Quais são os elementos constitutivos de uma OI?;Base em tratado, membros (Estados), órgãos permanentes, vontade própria e objetivos comuns.
As OIs têm personalidade jurídica internacional?;"Sim, conforme a CIJ no caso ""Bernadotte"" (1949), as OIs têm personalidade para seus fins."
Como os atos de uma OI são incorporados ao direito brasileiro?;Depende da natureza do ato: tratados (por decreto legislativo e decreto executivo) e resoluções (por ato interno, se vinculantes).
Resoluções vinculantes da ONU (ex.: CS) são incorporadas no Brasil?;Sim, devem ser cumpridas pelo Brasil, mas carecem de ato interno para execução direta.
Resoluções não vinculantes (AGNU) têm força no Brasil?;Não, são recomendações, mas podem orientar a interpretação e a política externa.
A ONU foi criada em 1945 por qual tratado?;Pela Carta das Nações Unidas, assinada em São Francisco em 26 de junho de 1945.
Qual é o principal órgão deliberativo da ONU?;A Assembleia Geral (AGNU), composta por todos os Estados-membros.
Quantos membros tem a Assembleia Geral da ONU?;193 Estados-membros.
Qual é o órgão executivo da ONU?;O Conselho de Segurança (CS), com 15 membros (5 permanentes e 10 rotativos).
Quem são os membros permanentes do Conselho de Segurança?;EUA, Rússia, China, Reino Unido e França.
"O que é o ""direito de veto"" no Conselho de Segurança?";É o poder de um membro permanente de bloquear qualquer resolução não procedimental.
Qual é a função do Secretariado-Geral da ONU?;É o órgão administrativo, chefiado pelo Secretário-Geral, responsável pela execução das decisões.
Quem é o atual Secretário-Geral da ONU?;António Guterres (Portugal).
Qual é a função do ECOSOC da ONU?;O Conselho Econômico e Social coordena as atividades econômicas e sociais da ONU.
O que é o Conselho de Direitos Humanos da ONU (CDH)?;É o órgão intergovernamental responsável por promover e proteger os direitos humanos.
Qual é o principal órgão judicial da ONU?;A Corte Internacional de Justiça (CIJ), com sede em Haia.
A CIJ é um órgão da ONU?;Sim, é o principal órgão judicial da ONU.
"O que é a ""Carta da ONU""?";É o tratado constitutivo da ONU, que estabelece seus princípios, órgãos e competências.
A Carta da ONU é superior a outros tratados?;Sim, seu art. 103 estabelece que as obrigações da Carta prevalecem sobre outros tratados.
Quais são os propósitos da ONU?;Manter a paz e segurança internacional, desenvolver relações amigáveis, cooperar para resolver problemas e ser um centro harmonizador.
O Brasil é membro fundador da ONU?;Sim, participou da Conferência de São Francisco e assinou a Carta em 1945.
O Brasil já foi membro do Conselho de Segurança?;Sim, várias vezes como membro não permanente.
O Brasil é membro do Conselho de Direitos Humanos da ONU?;Sim, já foi eleito e faz parte do órgão em vários períodos.
"O que são as ""Agências Especializadas"" da ONU?";São organizações autônomas vinculadas à ONU por acordos, com funções técnicas específicas (ex.: OMS, FAO, UNESCO).
Quais são as principais Agências Especializadas?;OMS, FAO, UNESCO, OIT, FMI, Banco Mundial, OACI, OMI, UPU, UIT, OMM, OMPI, UNIDO, etc.
A OMS (Organização Mundial da Saúde) é uma agência da ONU?;Sim, é uma agência especializada sediada em Genebra.
A UNESCO é uma agência da ONU?;Sim, a Organização das Nações Unidas para a Educação, a Ciência e a Cultura.
A FAO (Organização para Alimentação e Agricultura) é da ONU?;Sim, é uma agência especializada com sede em Roma.
O FMI e o Banco Mundial são agências da ONU?;Sim, são agências especializadas do sistema ONU.
A OIT (Organização Internacional do Trabalho) é uma agência da ONU?;Sim, é uma das mais antigas agências, com sede em Genebra.
O que é a OEA (Organização dos Estados Americanos)?;É a organização regional do continente americano, criada pela Carta da OEA (1948, Bogotá).
A OEA tem sede em que cidade?;Washington, D.C., EUA.
A OEA é uma organização política ou técnica?;É política, mas também tem funções técnicas (direitos humanos, desenvolvimento).
Quais são os princípios da OEA?;Soberania, não-intervenção, solução pacífica de controvérsias, solidariedade e democracia.
O Brasil é membro da OEA?;Sim, é membro fundador da OEA.
O que é a Carta Democrática Interamericana?;É um documento da OEA (assinado em Lima, 2001) que estabelece a democracia como condição de validade dos governos.
A Carta Democrática Interamericana tem força vinculante?;Sim, permite sanções (inclusive suspensão) a Estados que sofram ruptura democrática.
Quais são os mecanismos da Carta Democrática Interamericana?;Visitas de missões, recomendações, e a suspensão do Estado da OEA em caso de ruptura.
O Brasil já apoiou a aplicação da Carta Democrática Interamericana?;Sim, em casos como a crise em Honduras (2009) e na Venezuela.
"O que é o ""Mercosul"" e sua natureza jurídica?";É uma organização internacional regional, com personalidade jurídica, criada pelo Tratado de Assunção (1991).
O Mercosul tem órgãos permanentes?;Sim: Conselho do Mercado Comum (CMC), Grupo Mercado Comum (GMC) e Comissão de Comércio.
O que é a UNASUL (União de Nações Sul-Americanas)?;Foi uma organização regional criada em 2008, mas atualmente encontra-se em desuso e enfraquecida.
A UNASUL tinha personalidade jurídica?;Sim, mas sua vigência foi prejudicada por divergências políticas.
O que é o PROSUR?;É uma organização regional criada em 2019 como alternativa à UNASUL, focada em cooperação política.
O que é a ALADI (Associação Latino-Americana de Integração)?;É uma organização regional criada pelo Tratado de Montevidéu (1980), focada na integração comercial.
A ALADI tem personalidade jurídica?;Sim, e é um organismo intergovernamental com sede em Montevidéu.
O Brasil é membro da ALADI?;Sim, é membro fundador.
O que é o SELA (Sistema Econômico Latino-Americano)?;É uma organização regional para a cooperação econômica, criada em 1975.
O Brasil participa do SELA?;Sim, como membro ativo.
O que é a CPLP (Comunidade dos Países de Língua Portuguesa)?;É uma organização internacional de cooperação, criada em 1996, que reúne países lusófonos.
A CPLP tem personalidade jurídica?;Sim, com sede em Lisboa.
O que é a OTCA (Organização do Tratado de Cooperação Amazônica)?;É uma organização regional para a cooperação amazônica, criada pelo Tratado de Cooperação Amazônica (1978).
O Brasil é membro da OTCA?;Sim, é um dos fundadores.
"O que é a ""Comunidade Andina""?";É uma organização regional da América do Sul (Bolívia, Colômbia, Equador, Peru), focada na integração econômica.
O Brasil é membro da Comunidade Andina?;Não, é apenas observador.
"O que é a ""OCDE"" (Organização para a Cooperação e Desenvolvimento Econômico)?";É uma organização internacional de países desenvolvidos, criada em 1961, com sede em Paris.
O Brasil é membro da OCDE?;Não, mas está em processo de adesão.
"O que é o ""G20""?";É um fórum internacional de cooperação econômica entre os 20 maiores economias do mundo.
O G20 é uma organização internacional?;Não, é um fórum sem personalidade jurídica.
O Brasil é membro do G20?;Sim, é membro fundador.
"O que é o ""BRICS""?";É um agrupamento de países (Brasil, Rússia, Índia, China, África do Sul) sem personalidade jurídica formal.
O BRICS é uma organização internacional?;Não, é um fórum de cooperação.
"O que é a ""AIEA"" (Agência Internacional de Energia Atômica)?";É uma agência da ONU que promove o uso pacífico da energia nuclear, com sede em Viena.
O Brasil é membro da AIEA?;Sim, e é signatário do TNP (Tratado de Não Proliferação Nuclear).
Como os atos da ONU são incorporados no Brasil?;"As resoluções do CS são vinculantes e devem ser cumpridas; as da AG são recomendações."
